name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Mighty Lynel Spear,BotW_Mighty_Lynel_Spear_Icon.png?version=6bd0df53e5c8928798db6daf3d169a6b (https://v5.airtableusercontent.com/v1/18/18/1686708000000/oLJPAXKQwdN8vAvCZty5dg/cSO5kPGuc-oadHFwAFKX6CTyyNGEVc2osUo2jrNZPvCQjATCDT8DKS-7Y-LB-XHexCzRmnCzZOlvPtFZAzU1XXAAxbJitKA_OT9DzPx3PtAG98jM7HK0UuGz7HBeclBf/wB5VcW8SbVZ_QL4v0r8CXhx21C5FBlpV34ZP6EO05tM),Weapon,Heavy,,35,20,,,,,,,,,"The weight and cutting edge of this Lynel-made spear have both been enhanced. It's immensely heavy for a Hylian, but a Lynel can cleave through rock with a single swing.",,,,,,,,,
Moblin Arm,BotW_Moblin_Arm_Icon.png?version=0ce9ecb2f419329506aa8f27f75a6695 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Gi7vXQsLg8GYCD81ReLeYg/KoOPVJRiSvUj4W6tAJE08Mbf4RyrSnH2_D3HsGVGkcbWNqYH80durXkOcPDPCunLUSz5Z-vs-W0KWqrNFm9-Ze5lHhRQgA9dYH2-uIsS5eZmHQCF13XwtkMI1QAC3801/3RQXVv4h5I68L-_l_t06SfxQpLON_MEmaeVR4jcwHSE),Weapon,Heavy,,5,15,,,,,,,,,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,,,,,,,,,
Moblin Club,BotW_Moblin_Club_Icon.png?version=244a3bc7981f45642129a04cd03640b0 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Wl6njdl42aJJJMLyDjIwMA/Rd3sTiywnh3LJ8RjhyI84Yjo0kuZo3cluf5e4r9EpvmaJIcadJtTTvEjsG4cnDT-Ezwjmk5NfElN22gq-4ao4fEvIiIsZG2WQsjxREF0DYA7CA_8qAwEFleOCleVFKks/6vGh8fkqavhqVZufl6WwlxKNbn_YBZ59LgP9clRpsJ4),Weapon,Heavy,,12,9,,,,,,,,,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.",,,,,,,,,
Royal Claymore,BotW_Royal_Claymore_Icon.png?version=f28f21fc6ac7ce675a9fa6d5bf8d090c (https://v5.airtableusercontent.com/v1/18/18/1686708000000/G1TBZ7AR_xY4JT-zEoEuBg/ZG5fAVolZw1l-OEfH9m1F9uTVgiaeQ1WXYQw2yHXgWmo2ka8ecsVbn6C7VrGLaiy3cu_BfM35MqL-JzEpzkKGuPkgf-vvbvBBJwg0bhHpkpNhoAljyw2mibfRLm7aOzt/UoG2lAM5sfQ9WsxT8Vc9nq0GkAF1j0PZIvW1lo2No_w),Weapon,Heavy,,40,52,,,,,,,,,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,,,,,,,,,
Royal Guard's Claymore,BotW_Royal_Guard%27s_Claymore_Icon.png?version=fd19bb7d8f817e9df3f1bb1c238fb874 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/I_RbAoqhH-TcMiRw226FLQ/WLxJKauAUk-Wj5ElZk7gF8IyGPD_8k7-aek1zdIemhSKrn-xSAiSURO0PQ0WTxKoRwO9a7o6aOBKn1Kb8ygDffDNHFsD9Dsj56BcbxcikKQCa-YNZXQouWARkyhScCpJ9G5zrGWcb4brI42pfpwB8Q/9BtNYIEFkDIpBcdx0-vOwuuVJNq1A2oTvIGCHjueqvg),Weapon,Heavy,,15,72,,,,,,,,,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",,,,,,,,,
Rusty Claymore,BotW_Rusty_Claymore_Icon.png?version=cb6d09a1b877133ef97184e323ec67e6 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/hATto4OCg5yce6h9Dz6R-w/oA8Dbis5-HwUwc2dHAsmGlH-z0dUBoe24rjNvLMapXVgn7mR02fLwjUZ7j2YQnAtHHNe-YkoqhCB0JMJ5G8eB4hAl4tbRk08AXS6pT9qJNrb6JLOQfMIsccSLQy-nwpG/4VtLmjILxpG2VYJHI7Nd-1tIdYjC9A55CW9Y2_reqsc),Weapon,Heavy,,10,12,,,,,,,,,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",,,,,,,,,
Savage Lynel Crusher,BotW_Savage_Lynel_Crusher_Icon.png?version=a6a8898e366431a8f6e195f888ad5ad4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/qPiZ4kRMEISljcfjAPRu6g/7CUCXXDc3YngYiM7VOV5_9yq5yBi72qPdYa7xHlizEiMPAJIGvhtomyEnfqQ4UvRlQ_lF8Hxpjw7GZDMBnjx6oj0ShcY0dmetZn0ExZ-GkJQr___9JpCID6LuaV9RJ3V5xXiJW5Jv2X_8ZXkBIZm3g/a8cJn_YLp8o34jKAcMUgRcwazn9A3jFaaoSWMqsBA-o),Weapon,Heavy,,35,78,,,,,,,,,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.,,,,,,,,,
Silver Longsword,BotW_Silver_Longsword_Icon.png?version=ac70373aa6632540e411c87d31576a76 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/VzAvJvly9al6KlF3f0LY5A/aP2nrP62v436JL0ksBRu0xWBJwTA65tWMe8XyA9DPpQ6TTLUAEQ9ezj8vdA_yfsBfjoFlIbKo-ptI-x0rC6gvKTFCQYbFEMXoRxpZWeL0v9g_ZTA5ndOfJKU2UDlzFOm/bVul3Klt3ySsc14-9NREfBni9B9szZ5AaUtIaOzRlTQ),Weapon,Heavy,,30,22,,,,,,,,,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.",,,,,,,,,
Soldier's Claymore,BotW_Soldier%27s_Claymore_Icon.png?version=33412cedb33e12227744b753304207b4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/g8GtyqaHqGj6pGjNWPTRIg/_vGp8D85Wrbaz-AehakO4f8D4D81SAqjsj2MCKzdLM5vX7VhbcEoyzhoynpN83ecJattoCNRYj5JAj8Fmt3_ODxDSauKNaq5es-L7_PwQZ-0dUfRKgQmMJ238033tC7gE5-9jzniEyVpAA2H8l4edw/CvWW_8iR_Pb3TqYJSaNRuuRZUYbfQdPdSwuvy9-caOg),Weapon,Heavy,,25,20,,,,,,,,,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,,,,,,,,,
Spiked Boko Bat,BotW_Spiked_Boko_Bat_Icon.png?version=5fdf6f4b947697b69af3eb0edeca15c4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/EkyvymsJa3IwlEMpRH4IdQ/VefIB3QHhG3J6sUtq5dvI4JdBz1zP1bJrIDQ-FxCQwIWM9rm8He85xguNH4BeXhcOLWW-9VCd4RDKiDn4McizTpe0tXQJIffNr9j2JRnySgU59JajiFpcBY5HWIBFM8N/Nzfs3-txo2d84kjngrbDRrek41nodA_0roneYpWhD9Y),Weapon,Heavy,,12,18,,,,,,,,,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.",,,,,,,,,
Spiked Moblin Club,BotW_Spiked_Moblin_Club_Icon.png?version=4c6f4a6bb162c6ca87693aa0b971f198 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/L2JeAy6CmacCvmpEDKy1Fg/NWXE7wvsjgctQwYyJbTpInKpbvYuJ8M2RpN6I3yfRBMO_C3EgNzoOhXofPseKfeIBLe3knGzVHxbXDvksuOrsPxJeKjVMKZbbzmvdzQOfq1_Swtibokd8B9mH3UeKhM4/dlTy2KUeWPtd5hn5uYZuL3xZT3TxjaE7cppJO3JULO4),Weapon,Heavy,,18,27,,,,,,,,,Animal bone has been affixed to this Moblin club to greatly improve its damage.,,,,,,,,,
Stone Smasher,BotW_Stone_Smasher_Icon.png?version=0358768053162b235554b5cb5de678bc (https://v5.airtableusercontent.com/v1/18/18/1686708000000/YNJr8mPiwdKAqo0LPKuADQ/mQlZrkKGkzCoVxClFsCqd3YguicRxy3VxbXDoz2jpNqXdjAuGjI1p71W-JWnpbaJ2Z_sCtKyaK8hp60B9LSAFjxMuw-GgPEZyU2asAOK68M8oDOZoSQeAkuacbQKVoKC/Im2n1mvqw-SWqlD-P9_bT2yi3CQL7VNrkp6gNF8MS6o),Weapon,Heavy,mining,40,42,,,,,,,,,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.",,,,,,,,,
Sword of the Six Sages,BotW_Sword_of_the_Six_Sages_Icon.png?version=013a03d5863f4e7f358f748328364a64 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/GvmAUhcicMPlTy7u0swtqw/c9vKFO4OA7HCJRyDlMN-3MDK1kxDoZBzx__o_wfiWWi4b6x95I_BXY9NRHclN84K_V1W3OxnyAVLjKDFkCtbSLeS5uK26WXFALca9yov1goto6GKeYOFgu7Ea4tbulgzJ_22Znx89B2OJqkAv5hVBA/F2XFHE-1tVCMUTT4oUxYwD1fFPEP2QLOtWjtp-CCnn0),Weapon,Heavy,,50,48,,,,,,,,,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.,,,,,,,,,
Traveler's Claymore,BotW_Traveler%27s_Claymore_Icon.png?version=157d4bf8324b296313c99a982b6bd59d (https://v5.airtableusercontent.com/v1/18/18/1686708000000/RSjf8pNlkEpexYXiDA8GIQ/-CfI2H9yF0dias4R5c0sk21_BrqPmFnREb_rlqf6mVfbuhqyLCjTym5nSuQKaEYnI4ntswHpZqA8zcQ6NPxEN-gZt2-v3moWiEgGDsgabwUJ05Bvz0BgUyD119bMzk2vFasURX4pkYlkufwkIjgVqw/k9zvI8StAfqJxUWsc70vi_L7yJWHHE1BhHJMiSzJ96I),Weapon,Heavy,,20,10,,,,,,,,,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,,,,,,,,,
Windcleaver,BotW_Windcleaver_Icon.png?version=c1539d20d7e46ed96b44bad78e7c9877 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/ilQ4b6H1wNisV9n4eLo27g/AaBD_TyhDqOFJ_y4XRndGGaIRARD2GIi5VaLZ0bxMwXcBsHMDI-SqA1dc8eFNJnFiRR_qTPHsQqZRWhE_Z1FZpqBj-nwpbZscsDuDNzRvPX_68w4GumnXAV_RjJb6PlQ/uBl_Y6ROoAnK46xQs-1M4OJOTFcPAZRBmHQhOtM_P8M),Weapon,Heavy,,25,40,,,,,,,,,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.",,,,,,,,,
Woodcutter's Axe,BotW_Woodcutter%27s_Axe_Icon.png?version=95f41c560cf067a29a02489fa0520592 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/QbG5zQLm4CpjMUn-eRuBiQ/NrkpjkPucBQgK_B7YJEjLENnh_XvYQCiQZ1DQfGXCkEAiCnRd3RxLaPyiFIU7HmEOdVgsfhYbSAnKbB323PvE2Ak1vZMaOqe3dWwqjWeN9Efcf3jfgQBEw0j3jyaGdIy/gyqDxsMztUG0TIs_nKyP5Zy2jvwyAJcGPFnCnOmwIO0),Weapon,Heavy,,47,3,,,,,,,,,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",,,,,,,,,
Ancient Spear,BotW_Ancient_Spear_Icon.png?version=e690cd33f2dc36054e02dc49abbbb2f5 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/WD7F4ZUmGkWXjP6zs8Bbvw/x1oCmS55yO3YnIGia2ns9IQ9BDL5t0OaWf-IlrJp41pUrgc0loPUls12JTKBBOFNgDBd99zi_hvC-IoG1_q_kckHi0yAUSa9uA0XKDAC4rgZHUNKM0UzeR5Aoev67PnI/SxwXb4fKF0I0G_bWZcykXevB7oXB2GozTzNFl-EEVi4),Weapon,Pole-arm,,50,30,,,,,,,,,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.,,,,,,,,,
Boko Spear,BotW_Boko_Spear_Icon.png?version=864bc6544f6947661d29b04fb788e99b (https://v5.airtableusercontent.com/v1/18/18/1686708000000/EJKrxZZtbj7mxJQej7c52A/h3RtAgtLRtWEINQ97HpUK3IYGqqoJPSLzWTL09c-BUK6omRxotDHqYk8GBRAClZ_tuH82CV733wFqIkRKcatPxdWAQEO6XKhD2EJIvePsqykY8nLIHWKsPNS1bnhov_Z/6bdNDNeY_PifIqWf1O6RoRbdnW25KQBPpFXP8dsIYuA),Weapon,Pole-arm,,12,2,,,,,,,,,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it.",,,,,,,,,
Ceremonial Trident,BotW_Ceremonial_Trident_Icon.png?version=689a055fa55eff273b90aac9c0533d98 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/l4pK065UNnWRGXCRI-iiEA/IpMHB6BkIRhJ_RbEtYxbcvTL7zdBv4KCZJTNEm2ZOTJazCKKlBw9er9lK1l8mHDDqS4dZGFpfIB3diWwBffnGujqi-Mzx8Fu54nv7jw8V-aUgYNehnpBfHkuiPGQf0bP/SmUwrGivnaZLsUTU4T_lGsAISglYe_Ejbwxw2A7ZIp4),Weapon,Pole-arm,,40,14,,,,,,,,,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior.",,,,,,,,,
Dragonbone Boko Spear,BotW_Dragonbone_Boko_Spear_Icon.png?version=90132586e3e9994d264140d15d459977 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/kcbmRRimrTyWqVen4PeFog/xGPby196Q0x4d5eEMP-qo98yt34VI-t1xvHjMV3Fuz2ImWYeNRal7dVjaosO3u7ZGdtSApcfMD0AYDx6KHFy7uLdNF2vxJDsYUDwoZWaNseFiyTbPn5au_y3lm39GCdEv2am9iQl0Eu5BKtSy8UqAg/dom8S7lTZyc3YFgcOK-5uM4BO36ZC-_H5Zlic1X_bKU),Weapon,Pole-arm,,20,12,,,,,,,,,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.,,,,,,,,,
Dragonbone Moblin Spear,BotW_Dragonbone_Moblin_Spear_Icon.png?version=394e1f959662815148112c19b891bda1 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/9S_rudkqx6JYmZKisJ3jDQ/aFgPHnrA2Es8hiu55COWAoxPt4Jj3smVtOfRDY91ExAk-uYWiPFNQHgIp-XLGMFAlzxS6afXsqd38-7B2eGN2URRbhl8W74odPAQKP7zoUie_thuPxLjN5ACAaswF6q0R4Pw9smnOklJIXQPV019vg/g7R5xkfS_2866qmYv-2ad8-w_ajmyb_7WfVd3xqHGj0),Weapon,Pole-arm,,25,15,,,,,,,,,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power.",,,,,,,,,
Enhanced Lizal Spear,BotW_Enhanced_Lizal_Spear_Icon.png?version=3382d7737201a6b50d4dc19ed768c58e (https://v5.airtableusercontent.com/v1/18/18/1686708000000/JBqYSbVEURfkie6f9bBgjQ/e1Z2sbtKZquFNsrBefj40BtB6M9OHC-BH431-DtaAIr44y3kBvUzewSzpswV_6Km1qvYb2N5jeXoaAM5-IkRiLVNvq-ltA_yB4H9kNP-j1eseGaliYoFqsLPppj0WOPouFnql74tmK12FYFBoaxhsw/3b47gvy8BMv9vc_pCEgnI7ARgPV9l71NQ2VzsLcSAog),Weapon,Pole-arm,,22,12,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Farmer's Pitchfork,BotW_Farmer%27s_Pitchfork_Icon.png?version=c4e8d7161023c1f9cf8ee8d0f91ca7ca (https://v5.airtableusercontent.com/v1/18/18/1686708000000/OjCTcepuTpG-909CckUrZw/lBKMd_EIWN6E62IaVMr1Lddx5vCSk-eCqZdYjVdlYVsTb4O_zbAbBai-x8pJyYA9hFUVQm4LQV5kHIeufhzcGn_58h9ZoNMZtOTQ_UPi17tHY4OpW2cgZscFCQCjl8qnBsD9f5Q-nHwCw3YfU2rJ8Q/HBYz9dqJBtqy4aVF-5_KqsULE47SOF8SVY19okITUpc),Weapon,Pole-arm,,12,2,,,,,,,,,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,,,,,,,,,
Feathered Spear,BotW_Feathered_Spear_Icon.png?version=4007014c2879920f30c88d21c557115b (https://v5.airtableusercontent.com/v1/18/18/1686708000000/FvlBTmbsv7LIgOzU9imBwg/ERJTMAQOzZFDMYVjNFlNaTQ0zoradZYZ4eXHKmPqHLgnhXeRUZYFj3vZwE4sCyJjszoIq4TJSe29lPb3xtBT-S6dygLbNxC50Mm0ltYivvX8edhI6HlZcHRam710dGfW/U2lMGUOJzpuQuKzG9voLAaakc2pXsB8y3FfAPKzbiOg),Weapon,Pole-arm,,35,10,,,,,,,,,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat.",,,,,,,,,
Flamespear,BotW_Flamespear_Icon.png?version=e674f710762533de79392199f8ec9a21 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/VAwcTkY8s5iFb3je6jZPfQ/5oVGICQ9he93tvEEhx2-SQftDBY9hlrgMGYMoaWzSCz3kHb000ghnRxdjGq7f8vXtSLhy3pDMz65n-zXWh-evXOI-8vSPcP2qoZyBMJYZIkoGSLl76sdlV2x8gfqRj5B/uLI_0FNH5gpAlOXu2vPUkIIYcwBbJp9VqccJD8uBEOo),Weapon,Pole-arm,,50,24,,,,,,,,,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.,,,,,,,,,
Forest Dweller's Spear,BotW_Forest_Dweller%27s_Spear_Icon.png?version=7d24ba7d5e9bc8c49f37b62e561ae6a6 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/xUoz71uC6pY6muP3MvP94w/vhYBFTogx_mCeNsx3zTCFtoCUGbGQMmk2ChWVtKcHVqSiZc4hQuhTJ6NipXbyR9w5DcYbuNGxXfkPHqWJN4v0M5frFzQXecrQmC7KwF6SJ2BBYjSZH6RA40rBtwAYeUfqfrY0wVqioOFGVw-43jyFg/qXgw1qDrDcZFHO2CfRwgf-p43R_eBcjuMuRf7yzFoD8),Weapon,Pole-arm,,35,11,,,,,,,,,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength.",,,,,,,,,
Forked Lizal Spear,BotW_Forked_Lizal_Spear_Icon.png?version=2e07158bbced3704a9168a194501083c (https://v5.airtableusercontent.com/v1/18/18/1686708000000/qowBgUbXCMazeILtAnUzxQ/w0NV5i__OPyRbP6OmEltQVo943uFYIvPGaWc9ajaYYO6XrXI88JUCfEB8km_JFq5y_UbuUPTrF7nWgObN_gevS7Uo8sOwk8vFJmC4DDT0EVsp_a4c1rn_JDwnzAlY4cC/v5HP1OF6-wpy4GudWen8JVpI-GH0CPHkr1-642eRK3g),Weapon,Pole-arm,,28,18,,,,,,,,,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict.",,,,,,,,,
Frostspear,BotW_Frostspear_Icon.png?version=195fbd5001a3bd1bb731884968b5b229 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/SZk7lHUdwJwOOhA-bnDfXw/erNHeJAe6sohqPTQeRAcIjI5tX5zqWR_u5Cok7TnT8pflaDsGgDjC_9EyUaD8Mo1cvrwQJ9LdEE7dgYzMV4YaqEqa4TYIDdvUgTf7We54zwM8FJfHKY9GvYjI1CfdGxY/EdwyIfy53zJf_JP3KLtZgi67YwtnhUehq7idBpL7Qss),Weapon,Pole-arm,,40,20,,,,,,,,,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.,,,,,,,,,
Gerudo Spear,BotW_Gerudo_Spear_Icon.png?version=37e61b25bec7b192047368b522f6c400 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/yiQAeOszUGfl3q4jhi2gaA/DKiJfQqzzzyfmYTEGAf5ajgt1auP9iN3s0oP7MWW94llakP35pJxFAUAGSakm1oeSrYy8HblPfantygVLIR7C1CgdO9HSAPkfEfma9vWPkIJae3k9e9Qlt_4XzLboyVL/BXxDs2iM9CZeyZglXIb9pR8QIOad2FWVtDyt0pyMzfo),Weapon,Pole-arm,,35,16,,,,,,,,,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength.",,,,,,,,,
Guardian Spear,BotW_Guardian_Spear_Icon.png?version=d83e52d8b853b4a4b565bce894c23fad (https://v5.airtableusercontent.com/v1/18/18/1686708000000/K7-Cag48Aud6q2drZlOxrQ/nCqPFrjpvcgnKuuOWQFO_a7KwP4dWhA7cGKibjGLjE-aGShNclur_FtvhunuwJSHxzPHjpyTgQRbei6kAHxKyggJcdm9iHWBNV8GeE8UkC-WB7ufREbJjLZUKSAtMWJD/nywXTHSwsYFtFns7iZooPDLNOQJU71bl7cGadjVmASY),Weapon,Pole-arm,,20,10,,,,,,,,,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished.",,,,,,,,,
Guardian Spear+,BotW_Guardian_Spear%EF%BC%8B_Icon.png?version=b8c854a74e13ac93a2cad1eea2922062 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/ynUytXp-HeeOGA5NvVjGtg/gs8Y5e_n18AkuUIJZEkyCO6x7_f3KYfNHYLH9GAZgt8HlxFBjHGTr6UC_kdpURB_cB28Y4yHfi2qZWZdoALS9DFCq_i-LLUdbCvMB4CYn2sZbce1SDh7gIB6rdpo8n096bGlQ0cTI6DfHz5e_3xAPg/jVvz5MX3patVGTU7T4MW7Bhw3sSReoUn2aWQng9oD8o),Weapon,Pole-arm,,25,15,,,,,,,,,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces.",,,,,,,,,
Guardian Spear++,BotW_Guardian_Spear%EF%BC%8B%EF%BC%8B_Icon.png?version=631dda4cf4935de7a37e23e0615769de (https://v5.airtableusercontent.com/v1/18/18/1686708000000/-2wsx7E3XrQqbYPe7gk__w/JVAPoyvM5k2xhifI6PJBALfJDyoChZpuNDe5tKmp8_L2zrB31Zpetpa3B7GhnqJvKi7TeP95o2Hzn3H5bmMH91Y7ZhaZKpDN7cbIyJc8hLRKSoWUGAHji5lOM4NqLly-AXk0Mrv-1beV3RL6HmgiSQ/XdvbFrz3wSjLHyIptjPIfj1K7u0rQlOSNQc7tAzamBA),Weapon,Pole-arm,,35,20,,,,,,,,,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor.",,,,,,,,,
Knight's Halberd,BotW_Knight%27s_Halberd_Icon.png?version=90974207fb88bd108ecfc0c3b7121e71 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/6JehrId-Qeav1IrpfinV0A/OyYPPuKpB2JCn2LzxsBEHgIbfK0GCUcL75gS6GAd18R5CVmi_P3gPcbyAZ-ipx8EVhhXNa7U4TueRi3o3KtIPDoE6W9HmUGP2vSxj5HYqZo_v9vX_oVqMZukIdZq3275/WAU1ANTIP9lHar_28DI1CuoFSzHwZHo5WbAE5dX-2aE),Weapon,Pole-arm,,40,13,,,,,,,,,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.,,,,,,,,,
Lightscale Trident,BotW_Lightscale_Trident_Icon.png?version=f7e9bc837a705c21d7a3ecd4eb621701 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/hxIJzBv3ZlybxmGXiKppOQ/VDFNmyXwG-nTe2IGEDco5ZtRXRT_RB9-TJTleLX_gLhFl35bqhawjekHtQ-NexLO7jiGQaystR5doMTf586I4oK0Nq45-_QTk6WCuOYfWgb0yYmZwQ1qxsKsJ5BIYYU4/BC8pAuwphuGMsbHcBfNw-I-khkrmBR9G5nquwxpjlzI),Weapon,Pole-arm,,70,22,,,,,,,,,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own.",,,,,,,,,
Lizal Spear,BotW_Lizal_Spear_Icon.png?version=4a805eee402e92c8c2bf0f479e206e5d (https://v5.airtableusercontent.com/v1/18/18/1686708000000/LT0CT9oyPRfkLEkGXOAOjg/fC6S_RERDPNMqJg2llZkUNSU86erb1onGOCshRS0itR1KB2to-DKxIldwgUztMUIxqjLzTVOjgfniHe0yC1jV_ewPFVPJMU90o0kuolugSxsqjJFV9R7xFzQxkQQU3gW/YS7PFrkeeqz0escX8LbvGRV1PC3BGvo1e8avKoi3Xj4),Weapon,Pole-arm,,18,7,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Lynel Spear,BotW_Lynel_Spear_Icon.png?version=44d2b5c8faf1fd8bc873168629bc7751 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Zb2WADpsLYFC1I7_GUhwxA/FOQb0dZpOhuvmxzX0f_gkatWhCSTYGCsaKGXP4XlnBmrIfboQqa97tK0u7dk-JhQBRLn22bJS05MN3CW6fffgqWPFoHwa4jZ1sDxesyv2C56V1Hb0f0KkmpIAZeAfycT/a6FwK5vrI65Oj2XIoUkAMWgYnRJkBMKCMRKGTwa_4vQ),Weapon,Pole-arm,,25,14,,,,,,,,,"The crescent-shaped spearhead of this Lynel-made weapon gives it poor balance, making it difficult to wield. Lynels, however, can swing it effectively with a single hand.",,,,,,,,,
Moblin Spear,BotW_Moblin_Spear_Icon.png?version=c974c5d2d29e3c826cc381496ab86199 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/qquly7Qq5cgN6NqO7qB1IQ/anutddPIpMW1gjKWQvwhszLo2RA1G4W5cUdzLZyjurrh3wP-wO3-pi976THYYWfOzOnFGNegZ5eORdZWcVyPN3Dill8_1ya_4yIRjxhiQI67u8YweBm4bYVz0nPhjXEd/30GZK0tR2XFecfwcUEQ7w30zQ0cujuzc4C-_YuEr2bE),Weapon,Pole-arm,,15,4,,,,,,,,,"This wooden spear is most often used by Moblins. It's made from a hastily whittled tree, so its stabbing power and durability are both pretty low.",,,,,,,,,
Royal Guard's Spear,BotW_Royal_Guard%27s_Spear_Icon.png?version=5be3cb92454b5a03623f9ec9513b7a0b (https://v5.airtableusercontent.com/v1/18/18/1686708000000/J_hlNVQbwFj1jgX5uHM-CQ/_JxhlhxwZRb5zdi4cVcfsuEYU_RsAxzvQL9kBf9-1JUcfuCxTdi_tYOYI9Y8Ql-pZCfXggwVSqGfjDA4iED2MKdEm6UGckHQ9DjS-hJ_P-Jr4tB_zYTi32VT9sqCsh3NlKwTyYPLroXxbYr00-_l5g/vJcGQafhn4AsO244tO1FFnt8dlvHgrFEH0edHDWtZOA),Weapon,Pole-arm,,15,32,,,,,,,,,"This Sheikah-made spear was created using ancient technology to combat the Calamity. Its attack power is very high, but a critical design flaw left it with poor durability.",,,,,,,,,
